iter	MultiLogloss	Recall:class=0	Recall:class=1	Recall:class=2	Recall:class=3	Recall:class=4	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	Precision:class=0	Precision:class=1	Precision:class=2	Precision:class=3	Precision:class=4
44	0.2659786218	0.8150289017	0	0.02222222222	0	0	0.8138528139	0	0.04347826087	0	0	0.8126801153	1	1	1	1
45	0.2653335232	0.8092485549	0	0.03333333333	0.01315789474	0	0.8115942029	0	0.06451612903	0.02597402597	0	0.8139534884	1	1	1	1
46	0.264556612	0.8092485549	0	0.03333333333	0	0	0.8115942029	0	0.06451612903	0	0	0.8139534884	1	1	1	1
47	0.2639770151	0.8150289017	0	0.05555555556	0	0	0.8115107914	0	0.1052631579	0	0	0.8080229226	1	1	1	1
48	0.2630157053	0.8092485549	0	0.04444444444	0.01315789474	0	0.8092485549	0	0.08510638298	0.02597402597	0	0.8092485549	1	1	1	1
49	0.2617872964	0.8150289017	0	0.05555555556	0.01315789474	0	0.8138528139	0	0.1052631579	0.02597402597	0	0.8126801153	1	1	1	1
50	0.2603911697	0.8208092486	0	0.05555555556	0.01315789474	0	0.818443804	0	0.1052631579	0.02597402597	0	0.816091954	1	1	1	1
51	0.2580571914	0.8121387283	0	0.06666666667	0.01315789474	0	0.8121387283	0	0.125	0.02597402597	0	0.8121387283	1	1	1	1
52	0.2566728939	0.8150289017	0	0.06666666667	0.01315789474	0.01470588235	0.8138528139	0	0.125	0.02597402597	0.02898550725	0.8126801153	1	1	1	1
53	0.2555147866	0.8150289017	0	0.06666666667	0.01315789474	0.01470588235	0.8162083936	0	0.125	0.02597402597	0.02898550725	0.8173913043	1	1	1	1
54	0.2551512071	0.8092485549	0	0.07777777778	0.01315789474	0.01470588235	0.8127721335	0	0.1443298969	0.02597402597	0.02898550725	0.8163265306	1	1	1	1
55	0.2536896719	0.8179190751	0	0.07777777778	0.01315789474	0.01470588235	0.8155619597	0	0.1443298969	0.02597402597	0.02898550725	0.8132183908	1	1	1	1
56	0.2527047316	0.8150289017	0	0.07777777778	0.01315789474	0.01470588235	0.8150289017	0	0.1443298969	0.02597402597	0.02898550725	0.8150289017	1	1	1	1
57	0.2520222917	0.8121387283	0	0.07777777778	0.02631578947	0.01470588235	0.8121387283	0	0.1443298969	0.05128205128	0.02898550725	0.8121387283	1	1	1	1
58	0.2517909498	0.8121387283	0	0.07777777778	0.03947368421	0.01470588235	0.8121387283	0	0.1443298969	0.07594936709	0.02898550725	0.8121387283	1	1	1	1
59	0.2500941615	0.8121387283	0	0.08888888889	0.03947368421	0.01470588235	0.8121387283	0	0.1632653061	0.07594936709	0.02898550725	0.8121387283	1	1	1	1
60	0.249277443	0.8121387283	0	0.08888888889	0.05263157895	0.01470588235	0.8156748911	0	0.1632653061	0.1	0.02898550725	0.8192419825	1	1	1	1
61	0.2475753374	0.8005780347	0	0.08888888889	0.05263157895	0.01470588235	0.8075801749	0	0.1632653061	0.1	0.02898550725	0.8147058824	1	1	1	1
62	0.247004216	0.8005780347	0	0.08888888889	0.05263157895	0.01470588235	0.8087591241	0	0.1632653061	0.1	0.02898550725	0.8171091445	1	1	1	1
63	0.2462938279	0.8005780347	0	0.08888888889	0.05263157895	0.01470588235	0.8087591241	0	0.1632653061	0.1	0.02898550725	0.8171091445	1	1	1	1
64	0.2457028522	0.8063583815	0	0.08888888889	0.05263157895	0.02941176471	0.8134110787	0	0.1632653061	0.1	0.05714285714	0.8205882353	1	1	1	1
65	0.2445281165	0.8092485549	0	0.08888888889	0.05263157895	0.02941176471	0.8151382824	0	0.1632653061	0.1	0.05714285714	0.8211143695	1	1	1	1
66	0.242995717	0.8063583815	0	0.08888888889	0.05263157895	0.02941176471	0.8134110787	0	0.1632653061	0.1	0.05714285714	0.8205882353	1	1	1	1
67	0.2424828856	0.8063583815	0	0.08888888889	0.05263157895	0.05882352941	0.8122270742	0	0.1632653061	0.1	0.1111111111	0.8181818182	1	1	1	1
68	0.2405073505	0.8063583815	0	0.08888888889	0.06578947368	0.05882352941	0.8157894737	0	0.1632653061	0.1234567901	0.1111111111	0.825443787	1	1	1	1
69	0.2395503453	0.8063583815	0	0.1111111111	0.06578947368	0.05882352941	0.8169838946	0	0.2	0.1234567901	0.1111111111	0.8278931751	1	1	1	1
70	0.2381433036	0.8092485549	0	0.1111111111	0.06578947368	0.05882352941	0.8187134503	0	0.2	0.1234567901	0.1111111111	0.8284023669	1	1	1	1
71	0.2373186142	0.8150289017	0	0.1111111111	0.06578947368	0.05882352941	0.8197674419	0	0.2	0.1234567901	0.1111111111	0.8245614035	1	1	1	1
72	0.2367368931	0.8265895954	0	0.1111111111	0.07894736842	0.05882352941	0.8277858177	0	0.2	0.1463414634	0.1111111111	0.8289855072	1	1	1	1
73	0.2356938251	0.823699422	0	0.1111111111	0.07894736842	0.05882352941	0.8309037901	0	0.2	0.1463414634	0.1111111111	0.8382352941	1	1	1	1
74	0.2347167388	0.8352601156	0	0.1	0.07894736842	0.05882352941	0.8376811594	0	0.1818181818	0.1463414634	0.1111111111	0.8401162791	1	1	1	1
75	0.2327636501	0.8294797688	0	0.1	0.09210526316	0.05882352941	0.8355167394	0	0.1818181818	0.1686746988	0.1111111111	0.8416422287	1	1	1	1
76	0.2315067334	0.8352601156	0	0.1	0.09210526316	0.05882352941	0.8388969521	0	0.1818181818	0.1686746988	0.1111111111	0.8425655977	1	1	1	1
77	0.2308763024	0.8323699422	0	0.1222222222	0.09210526316	0.05882352941	0.8384279476	0	0.2178217822	0.1686746988	0.1111111111	0.8445747801	1	1	1	1
78	0.2304332749	0.8323699422	0	0.1333333333	0.09210526316	0.05882352941	0.8372093023	0	0.2352941176	0.1686746988	0.1111111111	0.8421052632	1	1	1	1
79	0.2294686077	0.8352601156	0	0.1333333333	0.09210526316	0.07352941176	0.8388969521	0	0.2352941176	0.1686746988	0.1369863014	0.8425655977	1	1	1	1
80	0.2290336301	0.838150289	0.0303030303	0.1444444444	0.1052631579	0.05882352941	0.8417997097	0.05882352941	0.2524271845	0.1904761905	0.1111111111	0.8454810496	1	1	1	1
81	0.2281990998	0.8410404624	0	0.1444444444	0.1052631579	0.05882352941	0.8422575977	0	0.2524271845	0.1904761905	0.1111111111	0.8434782609	1	1	1	1
82	0.2278901046	0.8410404624	0	0.1444444444	0.1052631579	0.05882352941	0.8434782609	0	0.2524271845	0.1904761905	0.1111111111	0.8459302326	1	1	1	1
83	0.2260887311	0.838150289	0.0303030303	0.1666666667	0.1184210526	0.07352941176	0.8430232558	0.05882352941	0.2857142857	0.2117647059	0.1369863014	0.8479532164	1	1	1	1
84	0.2247440668	0.8294797688	0.0303030303	0.1666666667	0.1447368421	0.07352941176	0.8367346939	0.05882352941	0.2857142857	0.2528735632	0.1369863014	0.8441176471	1	1	1	1
85	0.2235280153	0.838150289	0.0303030303	0.1666666667	0.1447368421	0.07352941176	0.8417997097	0.05882352941	0.2857142857	0.2528735632	0.1369863014	0.8454810496	1	1	1	1
86	0.2231646077	0.838150289	0.0303030303	0.1666666667	0.1315789474	0.07352941176	0.8417997097	0.05882352941	0.2857142857	0.2325581395	0.1369863014	0.8454810496	1	1	1	1
87	0.2227107591	0.8352601156	0.0303030303	0.1666666667	0.1447368421	0.07352941176	0.8401162791	0.05882352941	0.2857142857	0.2528735632	0.1369863014	0.8450292398	1	1	1	1
88	0.2218026296	0.8410404624	0.0303030303	0.1777777778	0.1447368421	0.07352941176	0.8422575977	0.05882352941	0.3018867925	0.2528735632	0.1369863014	0.8434782609	1	1	1	1
89	0.2210134918	0.8410404624	0.0303030303	0.1777777778	0.1447368421	0.07352941176	0.8422575977	0.05882352941	0.3018867925	0.2528735632	0.1369863014	0.8434782609	1	1	1	1
90	0.2202833374	0.8410404624	0.0303030303	0.1777777778	0.1578947368	0.07352941176	0.8422575977	0.05882352941	0.3018867925	0.2727272727	0.1369863014	0.8434782609	1	1	1	1
91	0.2199972361	0.8410404624	0.0303030303	0.1777777778	0.1578947368	0.07352941176	0.8422575977	0.05882352941	0.3018867925	0.2727272727	0.1369863014	0.8434782609	1	1	1	1
92	0.2194854316	0.838150289	0.0303030303	0.1777777778	0.1578947368	0.07352941176	0.8417997097	0.05882352941	0.3018867925	0.2727272727	0.1369863014	0.8454810496	1	1	1	1
93	0.2174655603	0.8410404624	0.0303030303	0.1777777778	0.1578947368	0.07352941176	0.8471615721	0.05882352941	0.3018867925	0.2727272727	0.1369863014	0.853372434	1	1	1	1
94	0.2172959866	0.8410404624	0.06060606061	0.1777777778	0.1710526316	0.07352941176	0.8471615721	0.1142857143	0.3018867925	0.2921348315	0.1369863014	0.853372434	1	1	1	1
95	0.2152188789	0.8439306358	0.06060606061	0.1888888889	0.1710526316	0.1029411765	0.8525547445	0.1142857143	0.3177570093	0.2921348315	0.1866666667	0.8613569322	1	1	1	1
96	0.2145248077	0.8439306358	0.06060606061	0.1888888889	0.1973684211	0.1029411765	0.8525547445	0.1142857143	0.3177570093	0.3296703297	0.1866666667	0.8613569322	1	1	1	1
97	0.2143908779	0.8410404624	0.06060606061	0.1888888889	0.1973684211	0.1029411765	0.850877193	0.1142857143	0.3177570093	0.3296703297	0.1866666667	0.8609467456	1	1	1	1
98	0.2132918889	0.8468208092	0.06060606061	0.1888888889	0.2105263158	0.1029411765	0.8542274052	0.1142857143	0.3177570093	0.347826087	0.1866666667	0.8617647059	1	1	1	1
99	0.2124571275	0.8497109827	0.06060606061	0.1888888889	0.1973684211	0.1029411765	0.8583941606	0.1142857143	0.3177570093	0.3296703297	0.1866666667	0.8672566372	1	1	1	1
